"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","time_only",0,,84.6451249882145,2.12923121545214,"Estimable"
"glucose","time_only",9.0000000001,,91.9119369515214,1.85045769258938,"Estimable"
"glucose","time_only",15,,96.3611663786063,1.69927893496327,"Estimable"
"glucose","time_only",24.0000000001,,102.442042696925,1.52511692055798,"Estimable"
"glucose","time_only",30,,106.100648360706,1.44287640605516,"Estimable"
"glucose","time_only",39.0000000001,,110.995589034036,1.36477790366785,"Estimable"
"glucose","time_only",48.0000000002,,115.178968320365,1.33023855458426,"Estimable"
"glucose","time_only",57.0000000003,,118.650786219694,1.32499694044833,"Estimable"
"glucose","time_only",60,,119.64993410003,1.32736585851549,"Estimable"
"glucose","time_only",69.0000000001,,122.173003483383,1.3408501756521,"Estimable"
"glucose","time_only",75,,123.459737857253,1.35195428014958,"Estimable"
"glucose","time_only",84.0000000001,,124.796871595618,1.36762842016862,"Estimable"
"glucose","time_only",90,,125.292982206185,1.37641290318925,"Estimable"
"glucose","time_only",99.0000000001,,125.444180299562,1.38765803898321,"Estimable"
"glucose","time_only",108.0000000002,,124.883817005938,1.40018038097892,"Estimable"
"glucose","time_only",117.0000000003,,123.611892325313,1.42115316361534,"Estimable"
"glucose","time_only",120,,123.029792679173,1.43170541526848,"Estimable"
"glucose","time_only",129.0000000001,,120.809119482573,1.48005840791919,"Estimable"
"glucose","time_only",138.0000000002,,117.876884898972,1.5628988529344,"Estimable"
"glucose","time_only",147.0000000003,,114.23308892837,1.69120705273171,"Estimable"
"glucose","time_only",150,,112.860365518993,1.74554929936534,"Estimable"
"glucose","time_only",159.0000000001,,108.267821032416,1.94597227589191,"Estimable"
"glucose","time_only",168.0000000002,,102.963715158839,2.20405255815474,"Estimable"
"glucose","time_only",177.0000000003,,96.9480478982601,2.51951389329283,"Estimable"
"glucose","time_only",180,,94.7847007256451,2.63712425447299,"Estimable"
"glucose","SEX",0,"g",84.59325944561,3.22563929274497,"Estimable"
"glucose","SEX",0,"m",84.6056375724201,2.895555156675,"Estimable"
"glucose","SEX",9.0000000001,"g",92.289466161886,2.8107999065337,"Estimable"
"glucose","SEX",9.0000000001,"m",91.4728237590237,2.52380970370581,"Estimable"
"glucose","SEX",15,"g",97.0023661974729,2.58642198539061,"Estimable"
"glucose","SEX",15,"m",95.6765482090224,2.32276329429892,"Estimable"
"glucose","SEX",24.0000000001,"g",103.44485958835,2.32892496495503,"Estimable"
"glucose","SEX",24.0000000001,"m",101.420535372765,2.09203003948444,"Estimable"
"glucose","SEX",30,"g",107.321950740362,2.2080439557068,"Estimable"
"glucose","SEX",30,"m",104.87546047421,1.98367300664751,"Estimable"
"glucose","SEX",39.0000000001,"g",112.510730805841,2.09433250091794,"Estimable"
"glucose","SEX",39.0000000001,"m",109.496248615092,1.88163035898227,"Estimable"
"glucose","SEX",48.0000000002,"g",116.947282876073,2.04535985439923,"Estimable"
"glucose","SEX",48.0000000002,"m",113.443117342249,1.83749870774971,"Estimable"
"glucose","SEX",57.0000000003,"g",120.631606951057,2.03951705418271,"Estimable"
"glucose","SEX",57.0000000003,"m",116.716066655683,1.83196708431695,"Estimable"
"glucose","SEX",60,"g",121.692553199217,2.04352354509089,"Estimable"
"glucose","SEX",60,"m",117.657289890344,1.83546050697811,"Estimable"
"glucose","SEX",69.0000000001,"g",124.373906613899,2.0642716741865,"Estimable"
"glucose","SEX",69.0000000001,"m",120.031679985503,1.85380857867928,"Estimable"
"glucose","SEX",75,"g",125.743571115183,2.08038443003362,"Estimable"
"glucose","SEX",75,"m",121.240207041289,1.86815204334093,"Estimable"
"glucose","SEX",84.0000000001,"g",127.171211204467,2.10119313677887,"Estimable"
"glucose","SEX",84.0000000001,"m",122.491398113587,1.88681918308492,"Estimable"
"glucose","SEX",90,"g",127.705066822175,2.11087180158347,"Estimable"
"glucose","SEX",90,"m",122.951125820819,1.89565482914518,"Estimable"
"glucose","SEX",99.0000000001,"g",127.878993586061,2.11899408563489,"Estimable"
"glucose","SEX",99.0000000001,"m",123.079117870257,1.90347997153157,"Estimable"
"glucose","SEX",108.0000000002,"g",127.300692354699,2.12347663712179,"Estimable"
"glucose","SEX",108.0000000002,"m",122.53319050597,1.90851568530508,"Estimable"
"glucose","SEX",117.0000000003,"g",125.970163128089,2.13352333085797,"Estimable"
"glucose","SEX",117.0000000003,"m",121.313343727959,1.91913386723421,"Estimable"
"glucose","SEX",120,"g",125.359491609237,2.14041645559722,"Estimable"
"glucose","SEX",120,"m",120.756968265638,1.92599959322847,"Estimable"
"glucose","SEX",129.0000000001,"g",123.025991722325,2.18052004987056,"Estimable"
"glucose","SEX",129.0000000001,"m",118.638562269353,1.96447569618493,"Estimable"
"glucose","SEX",138.0000000002,"g",119.940263840167,2.2646203255856,"Estimable"
"glucose","SEX",138.0000000002,"m",115.846236859344,2.04303942608576,"Estimable"
"glucose","SEX",147.0000000003,"g",116.10230796276,2.41150325516567,"Estimable"
"glucose","SEX",147.0000000003,"m",112.379992035611,2.17835026967358,"Estimable"
"glucose","SEX",150,"g",114.655827560402,2.47718761469461,"Estimable"
"glucose","SEX",150,"m",111.074817224799,2.23850379909607,"Estimable"
"glucose","SEX",159.0000000001,"g",109.814901022694,2.73012958134452,"Estimable"
"glucose","SEX",159.0000000001,"m",106.710013182792,2.46910462099882,"Estimable"
"glucose","SEX",168.0000000002,"g",104.221746489738,3.07111389086718,"Estimable"
